DayOfYear,Cumulative Return,Cum_Current_Year
2,1.0032726970474353,0.9977761133587778
3,1.0060036762012567,0.9897776258117155
4,1.0041676157968318,0.9863842907108401
5,1.0022155542494557,0.9881851188773789
6,1.0046912518190843,1.0021329855198398
7,1.0037517236777524,1.0006519324991816
8,1.0034948327691586,1.006321598224123
9,1.0014245170309006,1.0056463005019833
10,1.0037088967191286,1.0064015163299678
11,1.0043368378882904,1.0026462898577664
12,1.0024261210889331,0.9970145287357258
13,1.0016065180907698,1.0057935018460398
14,1.0033240917083277,1.0181783429119757
15,1.001018387856491,1.0204125573105967
16,1.0042269416554719,1.0233935642921128
17,1.0050738072407883,1.0242244866033976
18,1.0054652642776176,1.0296122817853588
19,1.0055149251974378,1.028941195685764
20,1.0019613987144929,1.0367166726829684
21,1.0007467106971966,1.036093968881385
22,0.9977824363696008,1.0194069040249645
23,0.9998649702124286,1.0321430560446148
24,0.9982356767436744,1.0431709328712047
25,0.9979445984794115,1.0398470381810636
26,1.001266545013831,1.0422495120364632
27,0.9981715059551871,1.0508391675772755
28,1.0004273276836608,1.0514387588161145
29,0.9993053492634282,1.057476479262447
30,0.998473227645527,1.0564729831493378
31,1.0040871159392297,1.0420265014866055
32,1.0088381881245256,1.052008868697142
33,1.0100798318788125,1.0581328760443869
34,1.0121588755355366,1.0530501666906509
35,1.0097382344905625,1.0467262613562927
36,1.0078599701262771,1.0480495326152826
37,1.0110380888269,1.07018736154683
38,1.0114585480162963,1.0705597306132668
39,1.0113623367690066,1.0665057871079073
40,1.0094312751110823,1.068325618937147
41,1.0087698296631158,1.0665541694059189
42,1.0120416981878735,1.0721312821573816
43,1.0142953889026334,1.0807167260756496
44,1.0164366962414133,1.0794271477970159
45,1.017302799483814,1.068424437983192
46,1.0211570968081394,1.0739173182837642
47,1.0207088095441024,1.0849830997132548
48,1.0172257513640575,1.0778997669283679
49,1.0163133558484603,1.076690106755579
50,1.0144355490301062,1.0887509610530897
51,1.0115711928883615,1.0866556274759371
52,1.007783926535493,1.0835357396729528
53,1.009810862051216,1.076511266881188
54,1.0072559567031774,1.083312729123095
55,1.0083287874291105,1.0894325248477952
56,1.0087373832883146,1.0991330215153514
57,1.0086229292448783,1.102690404450461
58,1.0044333335431461,1.1011442253641144
59,1.0028149989153792,1.0977802688985496
60,1.0031033946002448,1.094706708943555
61,1.0042846654815691,1.104154713703442
62,1.006063870245777,1.1053874864389752
63,1.0070871846101515,1.1031616952854435
64,1.0110752016178908,1.0951758426060147
65,1.0112508704067167,1.0963708134611483
66,1.0059929653574853,1.082847807083179
67,1.0069191147141283,1.0948665451552446
68,1.0048980083258805,1.0944563742084081
69,1.0048338253171376,1.0960384034476336
70,1.0061838342462812,1.0856731894755496
71,1.00551060599575,1.0937558067510014
72,1.0013773503022572,1.0778409069352446
73,1.006208060450437,1.0648837988157582
74,1.0068440853445126,1.0626938578151055
75,1.0091424243503035,1.0565508468051599
76,1.0106177532465326,1.0542178133604942
77,1.016502726515015,1.044984395905376
78,1.0155294297100819,1.0541084138968375
79,1.0134704786295792,1.0667203744126748
80,1.0128310976945811,1.066947596585077
81,1.0114230197105594,1.0620647852184546
82,1.0122277907984534,1.0729075560980876
83,1.010290272267947,1.076317737689141
84,1.0157481074225436,1.0593867068926413
85,1.02100766348311,1.055747248679164
86,1.0226962164956346,1.0653845710085525
87,1.0190208135317167,1.078762327769986
88,1.0209956756692775,1.0899017612327555
89,1.020744030167714,1.0913659677632357
90,1.0201912390511871,1.0913595989681684
91,1.022694027298453,1.0969156536069087
92,1.024639831939127,1.0987249050185366
93,1.0257574628019872,1.0984597782432335
94,1.0260063758222335,1.1037739213919162
95,1.0291275299296487,1.1167056570536344
96,1.0263100794301372,1.114381046854058
97,1.029496318175503,1.1156790483777808
98,1.0295280566745053,1.11670144543109
99,1.0320021477980093,1.1194952920156271
100,1.0356042626769446,1.1164658000135985
101,1.0306947978108592,1.1082254009764787
102,1.032436502046806,1.1159841342060062
103,1.0333805830366194,1.1162617931264416
104,1.030873539016824,1.1080382405794997
105,1.0307393167128918,1.1014176726620053
106,1.0338741231419089,1.110259717387986
107,1.0369885182091274,1.1114988589185866
108,1.041274333192576,1.1131692295087463
109,1.0434255237330723,1.1263576687006784
110,1.0413433876047031,1.126132603700799
111,1.0428014211746968,1.1248767184025215
112,1.0408558396377472,1.1277798617282144
113,1.0424142427723766,1.130836575193031
114,1.0418400877565335,1.1404528394096969
115,1.0425403643594657,1.1431268088354667
116,1.0434873638422342,1.1426765761132067
117,1.0430856959499264,1.1514344911107979
118,1.0460859586045068,1.1543376344364906
119,1.0464096064635668,1.1514218562431642
120,1.046947565161983,1.149623185249148
121,1.048226941843846,1.1460993925718934
122,1.0505417129132384,1.1506076776995564
123,1.0510702164367483,1.1524169291111843
124,1.0523727753068421,1.1534625414497388
125,1.0514648912990754,1.1487522011624398
126,1.0492367909684654,1.1518257611174345
127,1.0471063894293797,1.1589616878228777
128,1.0501062109445893,1.1648543640976767
129,1.0503216873526944,1.171201381994779
130,1.0500794058692116,1.1723921412273681
131,1.0477383012879473,1.1732609681415536
132,1.0497848556258984,1.185237692710675
133,1.0481704326723222,1.1748514206258682
134,1.0487558303438669,1.1813331077218945
135,1.0483866866472444,1.184671794452192
136,1.0510414624287636,1.192241107389717
137,1.052902623224991,1.175636117811664
138,1.0506831463892572,1.1664468710320126
139,1.0527416170044837,1.1581181306439587
140,1.0491215787072596,1.170616582796096
141,1.0512293217078752,1.1687926420668127
142,1.0507992328111826,1.1417361516157636
