DayOfYear,Cumulative Return,Cum_Current_Year
2,1.0032726970474353,
3,1.0060036762012567,0.9919836850772692
4,1.0041676157968318,0.988582786764067
5,1.0022155542494557,0.9903876286944643
6,1.0046912518190843,1.0043665829465447
7,1.0037517236777524,1.0028822288907309
8,1.0034948327691586,1.0085645314123415
9,1.0014245170309006,1.0078877285573742
10,1.0037088967191286,1.0086446276431242
11,1.0043368378882904,1.0048810313594245
12,1.0024261210889331,0.9992367179241363
13,1.0016065180907698,1.0080352579901652
14,1.0033240917083277,1.0204477029265802
15,1.001018387856491,1.0226868970390748
16,1.0042269416554719,1.0256745482181366
17,1.0050738072407883,1.0265073225250778
18,1.0054652642776176,1.031907126258427
19,1.0055149251974378,1.031234544413051
20,1.0019613987144929,1.039027351730346
21,1.0007467106971966,1.038403260019544
22,0.9977824363696008,1.0216790023098186
23,0.9998649702124286,1.034443541217026
24,0.9982356767436744,1.0454959974533926
25,0.9979445984794115,1.0421646943227212
26,1.001266545013831,1.0445725229159637
27,0.9981715059551871,1.0531813234532879
28,1.0004273276836608,1.053782251087064
29,0.9993053492634282,1.0598334286663789
30,0.998473227645527,1.058827695917645
31,1.0040871159392297,1.044349015310528
32,1.0088381881245256,1.0543536316537006
33,1.0100798318788125,1.0604912884539117
34,1.0121588755355366,1.0553972505373033
35,1.0097382344905625,1.0490592502086822
36,1.0078599701262771,1.0503854708319997
37,1.0110380888269,1.072572641516038
38,1.0114585480162963,1.0729458405347871
39,1.0113623367690066,1.0688828614244608
40,1.0094312751110823,1.070706749373746
41,1.0087698296631158,1.0689313515590348
42,1.0120416981878735,1.0745208948210887
43,1.0142953889026334,1.0831254743488217
44,1.0164366962414133,1.0818330218022352
45,1.017302799483814,1.0708057886719633
46,1.0211570968081394,1.0763109117421898
47,1.0207088095441024,1.0874013570648788
48,1.0172257513640575,1.0803022366409165
49,1.0163133558484603,1.0790898803251125
50,1.0144355490301062,1.0911776163773526
51,1.0115711928883615,1.0890776126299198
52,1.007783926535493,1.085950771085796
53,1.009810862051216,1.0789106418446595
54,1.0072559567031774,1.0857272634803603
55,1.0083287874291105,1.09186069927098
56,1.0087373832883146,1.1015828168258912
57,1.0086229292448783,1.10514812861025
58,1.0044333335431461,1.1035985033329503
59,1.0028149989153792,1.1002270491354342
60,1.0031033946002448,1.0971466386968156
61,1.0042846654815691,1.1066157015791516
62,1.006063870245777,1.1078512219719814
63,1.0070871846101515,1.1056204698786696
64,1.0110752016178908,1.0976168179847128
65,1.0112508704067167,1.0988144522426737
66,1.0059929653574853,1.0852613052020543
67,1.0069191147141283,1.0973068311583807
68,1.0048980083258805,1.0968957460047628
69,1.0048338253171376,1.0984813013393158
70,1.0061838342462812,1.0880929849291423
71,1.00551060599575,1.096193617092247
72,1.0013773503022572,1.0802432454580904
73,1.006208060450437,1.0672572579745163
74,1.0068440853445126,1.0650624359384577
75,1.0091424243503035,1.0589057331193585
76,1.0106177532465326,1.056567499708647
77,1.016502726515015,1.047313502412564
78,1.0155294297100819,1.0564578564107248
79,1.0134704786295792,1.0690979270107135
80,1.0128310976945811,1.0693256556257404
81,1.0114230197105594,1.064431961237542
82,1.0122277907984534,1.0752988989547954
83,1.010290272267947,1.078716681306363
84,1.0157481074225436,1.0617479138946984
85,1.02100766348311,1.0581003438990346
86,1.0226962164956346,1.0677591463100753
87,1.0190208135317167,1.081166719995519
88,1.0209956756692775,1.0923309815103304
89,1.020744030167714,1.0937984515277788
90,1.0201912390511871,1.093792068537665
91,1.022694027298453,1.099360506751762
